District,Day,Demand
M3C 0,01/01/2019,800
M3C 0,01/02/2019,1935
M3C 0,01/03/2019,1919
M3C 0,01/04/2019,2703
M3C 0,01/05/2019,1567
M3C 0,01/06/2019,1401
M3C 0,01/07/2019,2543
M3C 0,01/08/2019,3035
M3C 0,01/09/2019,3020
M3C 0,01/10/2019,2569
M3C 0,01/11/2019,2250
M3C 0,01/12/2019,1238
M3C 0,01/13/2019,1019
M3C 0,01/14/2019,3020
M3C 0,01/15/2019,3034
M3C 0,01/16/2019,2563
M3C 0,01/17/2019,2679
M3C 0,01/18/2019,2432
M3C 0,01/19/2019,417
M3C 0,01/20/2019,181
M3C 0,01/21/2019,739
M3C 0,01/22/2019,1373
M3C 0,01/23/2019,1234
M3C 0,01/24/2019,2082
M3C 0,01/25/2019,2104
M3C 0,01/26/2019,962
M3C 0,01/27/2019,304
M3C 0,01/28/2019,492
M3C 0,01/29/2019,295
M3C 0,01/30/2019,539
M3C 0,01/31/2019,605
M3C 0,02/01/2019,843
M3C 0,02/02/2019,657
M3C 0,02/03/2019,834
M3C 0,02/04/2019,2225
M3C 0,02/05/2019,2588
M3C 0,02/06/2019,473
M3C 0,02/07/2019,1264
M3C 0,02/08/2019,1529
M3C 0,02/09/2019,831
M3C 0,02/10/2019,766
M3C 0,02/11/2019,1755
M3C 0,02/12/2019,261
M3C 0,02/13/2019,474
M3C 0,02/14/2019,1262
M3C 0,02/15/2019,1435
M3C 0,02/16/2019,732
M3C 0,02/17/2019,501
M3C 0,02/18/2019,356
M3C 0,02/19/2019,1706
M3C 0,02/20/2019,1746
M3C 0,02/21/2019,2026
M3C 0,02/22/2019,2283
M3C 0,02/23/2019,1227
M3C 0,02/24/2019,762
M3C 0,02/25/2019,1583
M3C 0,02/26/2019,1955
M3C 0,02/27/2019,326
M3C 0,02/28/2019,1023
M3C 0,03/01/2019,1672
M3C 0,03/02/2019,589
M3C 0,03/03/2019,733
M3C 0,03/04/2019,1516
M3C 0,03/05/2019,1623
M3C 0,03/06/2019,1716
M3C 0,03/07/2019,1817
M3C 0,03/08/2019,2077
M3C 0,03/09/2019,1185
M3C 0,03/10/2019,691
M3C 0,03/11/2019,2252
M3C 0,03/12/2019,2739
M3C 0,03/13/2019,2755
M3C 0,03/14/2019,2646
M3C 0,03/15/2019,2915
M3C 0,03/16/2019,1387
M3C 0,03/17/2019,1383
M3C 0,03/18/2019,3199
M3C 0,03/19/2019,3393
M3C 0,03/20/2019,3922
M3C 0,03/21/2019,3622
M3C 0,03/22/2019,2909
M3C 0,03/23/2019,1848
M3C 0,03/24/2019,1881
M3C 0,03/25/2019,3415
M3C 0,03/26/2019,3705
M3C 0,03/27/2019,4018
M3C 0,03/28/2019,3592
M3C 0,03/29/2019,4449
M3C 0,03/30/2019,720
M3C 0,03/31/2019,806
M3C 0,04/01/2019,3463
M3C 0,04/02/2019,4027
M3C 0,04/03/2019,3875
M3C 0,04/04/2019,4029
M3C 0,04/05/2019,3301
M3C 0,04/06/2019,3536
M3C 0,04/07/2019,2749
M3C 0,04/08/2019,4581
M3C 0,04/09/2019,4510
M3C 0,04/10/2019,4404
M3C 0,04/11/2019,3270
M3C 0,04/12/2019,4274
M3C 0,04/13/2019,4376
M3C 0,04/14/2019,833
M3C 0,04/15/2019,3601
M3C 0,04/16/2019,4110
M3C 0,04/17/2019,5196
M3C 0,04/18/2019,5014
M3C 0,04/19/2019,1007
M3C 0,04/20/2019,1102
M3C 0,04/21/2019,2832
M3C 0,04/22/2019,4870
M3C 0,04/23/2019,4773
M3C 0,04/24/2019,5318
M3C 0,04/25/2019,5612
M3C 0,04/26/2019,2857
M3C 0,04/27/2019,2551
M3C 0,04/28/2019,3418
M3C 0,04/29/2019,3597
M3C 0,04/30/2019,4634
M3C 0,05/01/2019,2333
M3C 0,05/02/2019,4339
M3C 0,05/03/2019,3414
M3C 0,05/04/2019,3115
M3C 0,05/05/2019,5092
M3C 0,05/06/2019,5860
M3C 0,05/07/2019,5545
M3C 0,05/08/2019,5685
M3C 0,05/09/2019,3828
M3C 0,05/10/2019,4783
M3C 0,05/11/2019,4222
M3C 0,05/12/2019,1585
M3C 0,05/13/2019,1928
M3C 0,05/14/2019,5130
M3C 0,05/15/2019,5489
M3C 0,05/16/2019,5650
M3C 0,05/17/2019,6276
M3C 0,05/18/2019,4127
M3C 0,05/19/2019,4861
M3C 0,05/20/2019,4100
M3C 0,05/21/2019,7131
M3C 0,05/22/2019,5822
M3C 0,05/23/2019,6571
M3C 0,05/24/2019,7305
M3C 0,05/25/2019,2990
M3C 0,05/26/2019,6938
M3C 0,05/27/2019,7521
M3C 0,05/28/2019,4755
M3C 0,05/29/2019,6315
M3C 0,05/30/2019,7314
M3C 0,05/31/2019,7535
M3C 0,06/01/2019,5117
M3C 0,06/02/2019,5756
M3C 0,06/03/2019,6668
M3C 0,06/04/2019,6379
M3C 0,06/05/2019,3794
M3C 0,06/06/2019,7746
M3C 0,06/07/2019,8264
M3C 0,06/08/2019,7959
M3C 0,06/09/2019,6366
M3C 0,06/10/2019,3139
